corps,titre,avis
"Rien à redire, depuis le D.C de mon époux le 5 Mars 2019 , c'est une de ces Initiales que j'ai demandé , je porte ce dernier au quotidien, il n'a pas bougé et je fais du jardinage pour me vider l'esprit ; mais je porte des gants . Bon produit.",Porté au quotidien,positif
"Je les ai achetés pour ma petite fille, pour le prix et l’uti c’est un bon achat.",Jolie,positif
Je n'ai pas reçu le coli,Coli manquant,négatif
"Jolies simples je les aime beaucoup! L’attache est un petit peu dure mais au moins ca reste bien en place. Elles sont parfaites si, comme moi, vous etes tres sensibles et faites des reactions allergiques",Parfaites,positif
Aussitôt reçu aussitôt déballer et essayer par ma femme pas agréable à porter et en plus la dentelle et déchiré à l'arrière produit qui part à la poubelle direct,Tres deçu,négatif
"J'aime beaucoup ce genre de bracelet, mais celui-ci est particulièrement décevant par sa qualité (couleur et éclat des pierres ) contrairement à la photo qui valorise beaucoup. Il est aussi de petite taille. Je fais 19 cm de tour de poignets et le bracelet serre fortement. Il n'est pas recommandé pour une personne qui à donc besoin d'un 20 ou 21 cm. J'ai donc retourné ce dernier et le remboursement s'est effectué rapidement. Donc vendeur honnête... Francis",DECEVANT,négatif
Au bout d'une semaine le bracelet c'est décollé d'un côté au niveau de l'attache en métal...je déconseille...,Ne tiens pas,négatif
Très joli bracelet à recommander,BRACELET,positif
"très déçue, pas de certificat d'authenticité, ni de coffret, c'est de la tromperie pure et simple, j'attends l'expédition de l'écrin et du certificat si ceci est un oubli....",très déçue,négatif
J'ai offert le collier la semaine dernière et une soudure a déjà cassé. Photo jointe. je vous demande de me renvoyer le produit car il est tout à fait anormal qu'il casse si vite sans avoir subit de mauvais traitement. Merci d'avance,Collier cassé demande de remplacement,négatif
Le papillon est beaucoup plus gros que sur la photo. Trop imposant pour une jeune fille. La couleur n est pas conforme,Modele disproportionné,négatif
Mes oreilles ne supportent que l'argent ou l'or. Je ne peux pas garder plus de deux heures toute autre matière sans gêne. Je n'ai pas eu de douleurs avec ces boucles d'oreilles mais au bout de quelques semaines elles ont noirci au niveau de la tige et de l'attache.,Les boucles d'oreilles noircissent au niveau de l'attache.,négatif
"produit assez gros, décu car le boudin du haut se vis mais dans le vide donc bouge sans cesse, impossible de le fixer dommage car sinon la qualité est plutot bonne",mitigée,négatif
Ça fait ce qu'on en attend.,Bien,positif
"Soudure mal faite sur le fermoir. Le bracelet a cassé dès le premier porté. Le vendeur c'est engagé à le remplacer, puis plus de nouvelles",Produit défectueux,négatif
Il est absolument impossible de fermer ce bracelet ! Le fermoir ne s’ouvre pas suffisamment afin de pouvoir s’accrocher Impossible de le porter !!!!,Bracelet inutilisable !!!!😡,négatif
"Jolie copie du véritable P..... depuis que je l'ai, il n'a pas noirci. Il est vendu avec un petit polissoir, très pratique.",Super joli,positif
Ces petits anneaux étaient très mignons mais ils ne tenaient pas car ma fille les a perdus le premier jour.......,Déjà perdus,négatif
Les élastiques ont lâchés au bout d’un mois. Pas réparable ! Attention au poignet d’homme car c’est très serré et pas de réglage possible,Très fragile !!!,négatif
"Malheureusement, la barre est beaucoup trop longue, le bijou est trop lourd et laisse un goût métallique dans la bouche.",Trop imposant,négatif
Je le porte tous les jours avec d'autres en pierre différente. On me pose des questions au sujet des pierres. Ces bracelets plaisent...,Les pierres sont belles,positif
Mauvaise qualité je ne recommande pas,Mauvaise qualité,négatif
Très jolie collier mais le fermoir a cassé au bout de 2 jours ...,Pas solide...,négatif
Ces boutons de manchette font leur effet. Semble de meilleure qualité en vrai,Mieux en vrai,positif
Expérience moyenne. Au bout d’une dizaine de fois des petits morceaux se sont détachés. Je ne peux plus les porter.,Bof,négatif
Le rendu en vrai est moins bien que sur le photographie fait très cheap,Pas terrible,négatif
Bj j'ai acheté les deux la noir et la transparente c'est grand c'est joli mais reste à voir c'est vraiment de l'argent 925 ou pas.!!!!,Très jolie,positif
Piercing sympa bonne qualité,Top,positif
très satisfaite pour ce produit merci,être satisfait,positif
"Un cadeau pour la fête des mère offert par mon fils , très beau cadeau , de très bon qualité , je le recommande, je suis fan , j’aime trop ce collier",Collier,positif
Très doux et de bonne qualité.,Écharpe USA,positif
Très jolie modèle. Pour le prix c'est vraiment parfait.,Très bon produit.,positif
Petites merveilles / très jolies/ la photo reflètent le produit . la qualité = prix des boucles . va aussi bien aux hommes qu aux femmes.,Belles boucles d'oreilles,positif
"ce pendentif et joli, à un prix raisonnable il marque très bien le coup pour un anniversaire par exemple !",j'aime bien,positif
Je n ai jamais reçu ma commande ! Payée ! Partie ! Et jamais livrée depuis plus d un an,Rien reçu depuis un an,négatif
Très bien produit conforme à la photo..,Livraison ultra rapide !,positif
plaquage de la chaîne trop léger s'oxyde rapidement,La Qualité,positif
bracelet cassé au bout de 24h,trop fragile,négatif
"envoi rapide , mais produit bas de gamme, perle ovale ! c'est moche ! sinon le produit correspond au visuel","perle de mauvaise qualitée, ne recommande pas ce produit",négatif
"Je ne sais pas quoi dire.... le bracelet est très fin, élégant mais il est arrivé TOUT noir. Complètement oxydé...je vais essayer de lui faire retrouver une couleur argenté, car on ne voit rien du tout d'argenté...je le trouvais joli sur la photo avec un coté argenté/noir mais LA , c'est pas du tout le bracelet que j'ai reçu. Dommage.",fragile et tout noir,négatif
Désolé mais le précédent commentaire n'est pas de moi. En effet je n'ai jamais commandé ce produit mais je lai reçu et payé sans aucune action de ma part; piratage d'Amazon ?,Bien fait piraté,négatif
Tres bon rapport qualite prix Joli pour tout poignet,A s offrir ou offrir,positif
"Sympa et assez solide pour le moment ! Bel aspect, sobre et discret, taille idéale. Cadeau qui a fait plaisir !",Produit sympa !,positif
Je suis déçue par la teinte des pierres qui semblent assez foncées sur le site alors qu'elles sont hyper claires.,déçue,négatif
Les bracelets sont très beau mais je les ai reçu ce vendredi 13 juillet et hier donc le 15 juillet lun des bracelets à l’élastique qui a lâcher. Je suis donc déçu de la qualité de c’est deux là.,Déçu,négatif
"Bien reçu, pas de soucis. Belle qualité, je suis satisfaite. Je recommande",Boucles d'Oreilles Femme Créoles,positif
"Le produit visuellement est plus beau sur la photo qu'en vrai ...pour le prix on va pas se plaindre ,mais pas exceptionnel !",Pacotille mais passable,négatif
Boucles d’oreilles superbes rien à dire Je suis très satisfaite de cette commande je ne sais que vous dire de plus,Satisfaction,positif
Comme c'était sur le site j'aime beaucoup,Je recommande ce produit.,positif
"Je porte ce collier en continu et il a très vite rouillé, il sent le métal et les mailles s'oxydent très vite. Je suis vraiment déçue",pas de l'argent,négatif
"Comme d'habitude, article qui n'arrive jamais... Bien sûr, on écrit au vendeur qui vous dit que c'est un pb de transporteur et qu'un remboursement est possible... mais en tout cas pas de cadeau à offrir.",Article jamais reçu,négatif
Produit conforme aux attentes Excellent rapport qualité/prix Élastique assez serré,Conforme aux attentes,positif
Ce bracelet est bien réalisé. suffisamment lourd. Joli.Les pierres sont conformes aux attentes. Je ne me prononce pas sur le côté guérison (JE ne l'avais pas acheté pour ça).,Heureuse suprise,positif
Des boucles d'oreilles superbes dans un joli emballage. Je ne sais pas ce que ça va donner dans la durée mais en tout cas elles sont du plus bel effet et pas lourdes. Je recommande.,Très belles,positif
"Je les porte toujours mélangés avec les autres couleur argent, ils font un très joli contraste, pour l'instant ils n'ont pas perdu leur doré. Dommage qu'ils soit vendus par 5 et pas par 7.",Lumineux,positif
Tres déçu de mon bracelet car il me manque deux pierres de chakra en plus je doute que ce soit de vrais pierre . Publicité mensongère...,Déçu 😡😠,négatif
Très jolie collier. Conforme à l'image. Il manquerait un peu de longueur de chaîne.,Beau et bon bijou,positif
Article non reçu J’ai le bon début commande dans le carton avec les autres articles mais pas les anneaux en argent,Article non recu,négatif
Chaine un peu longue a mon goût . Dommage que l'ont peut régler la longueur . Belle effet .,Qualité a voir avec le temps,négatif
je suis très satisfais de mon achat idéal pour un cadeau je le recommande a tous,produit de qualité,positif
Les pierres sont fausses Mais le bracelet est beau,Bracelet,négatif
Très beaux bracelets mais malheureusement celui de mon compagnon c’est cassé au bout de deux semaines,Mitigé,positif
produit tout a fait conforme à la photo. Les pierres sont très brillantes et la forme du collier donne un bel effet. Le collier est pas trop long il tombe bien en ras de cou. Les boucles d'oreilles sont très jolies et brillantes aussi. Je ne regrette pas cet achat et franchement pour le prix pourquoi s'en priver. Après à voir sur la durée mais comme je l'ai dit vu le prix faut pas hésiter.,super!!!!!,positif
Bijou de très mauvaise qualité. Un strass est tombé sur une des fleurs et le petit mécanisme qui permet de bloquer la chaîne à l'intérieur de la fleur la plus grosse à sauté. Du coup le collier n'a aucune tenue. J'ai été obligée de le bricoler à ma façon et ça ne ressemble plus à rien. De l'argent fichu en l'air.,Qualité nulle,négatif
article ne très mauvaise qualité. Ne pas acheter.,ne pas acheter,négatif
"Magnifique bijou. Longue chaîne, belles finitions et joli son du grelot. Parfaitement conforme à l'image. Très jolie bijoux ! En plus c'était un cadeau et Il était livré dans une petite boîte !",Très jolie et semble efficace,positif
Arrivée avec des pièces détachées et une ou l’autre manquante,Arrivée en mauvais état,négatif
"Je suis assez déçue par ce produit, on dirait des bijoux que l'on trouve dans les distributeurs d'oeufs à 1 euro.... Heureusement que c'était un complément de cadeau parce que je n'aurai pas osé offrir juste ça...",Déçue ...,négatif
"A ce jour ,je n'ai toujours pas reçu le colis ,soit disant je l'aurais reçu depuis 10 jours",produit non reçu,négatif
J aurais aimé qu il soit un peu plus serré au niveau du réglage sinon parfait,Bracelet réglable,positif
Après moins de 10 utilisations le bracelet c'est décollé.,Qualité très moyenne,négatif
Elle sont petites mais reste très jolie. Elles sont arrivées très rapidement. Je recommande vraiment !,Petite mais jolie,positif
Ces intercalaires sont magnifique et vont très bien avec le bracelet de perles. Cela constitue un bel assortiment de couleur,bravo,positif
"bonjour,elles sont très jolies et de bonne qualité ,malheureusement l'une d'entre elles est incomplète,donc j'aimerais en recevoir une autre paires,merci",manque un chat noir,négatif
